"year","region","quantity","value","scenario","model_label","run","seed","is_reference","is_base_fit_reference","display_label"
1960,"Region 4","Regional depletion",0.864024127531237,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1960,"Region 5","Regional depletion",0.923420516519252,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1961,"Region 1","Regional depletion",0.759519374712825,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1961,"Region 2","Regional depletion",0.919360917082234,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1961,"Region 3","Regional depletion",0.87432998415833,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1961,"Region 4","Regional depletion",0.829327877362812,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1961,"Region 5","Regional depletion",0.914286091630677,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1962,"Region 1","Regional depletion",0.750023613370415,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1962,"Region 2","Regional depletion",0.90617041936134,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1962,"Region 3","Regional depletion",0.864108731167181,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1962,"Region 4","Regional depletion",0.813899842578594,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1962,"Region 5","Regional depletion",0.901802051566399,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1963,"Region 1","Regional depletion",0.738586571254738,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1963,"Region 2","Regional depletion",0.892006643930534,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1963,"Region 3","Regional depletion",0.857697917274371,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1963,"Region 4","Regional depletion",0.80000313646771,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1963,"Region 5","Regional depletion",0.894161000971262,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1964,"Region 1","Regional depletion",0.731045217433111,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1964,"Region 2","Regional depletion",0.876719355176384,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1964,"Region 3","Regional depletion",0.841660242821353,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1964,"Region 4","Regional depletion",0.772038144496525,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1964,"Region 5","Regional depletion",0.881539224079665,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1965,"Region 1","Regional depletion",0.748406329683516,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1965,"Region 2","Regional depletion",0.868781067171073,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1965,"Region 3","Regional depletion",0.836174537654791,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1965,"Region 4","Regional depletion",0.783125707814269,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1965,"Region 5","Regional depletion",0.873554743265927,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1966,"Region 1","Regional depletion",0.766012904874465,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1966,"Region 2","Regional depletion",0.864473505588488,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1966,"Region 3","Regional depletion",0.827301116002867,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1966,"Region 4","Regional depletion",0.797496142404912,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1966,"Region 5","Regional depletion",0.864214357872456,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1967,"Region 1","Regional depletion",0.760845391256293,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1967,"Region 2","Regional depletion",0.852889050597998,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1967,"Region 3","Regional depletion",0.821012963921288,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1967,"Region 4","Regional depletion",0.806032868055442,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1967,"Region 5","Regional depletion",0.852836320825112,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1968,"Region 1","Regional depletion",0.757106348957069,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1968,"Region 2","Regional depletion",0.835872654205841,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1968,"Region 3","Regional depletion",0.823157110945644,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1968,"Region 4","Regional depletion",0.813799928615464,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1968,"Region 5","Regional depletion",0.849725827722635,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1969,"Region 1","Regional depletion",0.77013945157576,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1969,"Region 2","Regional depletion",0.819137248673047,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1969,"Region 3","Regional depletion",0.823290845886443,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1969,"Region 4","Regional depletion",0.827155952052485,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1969,"Region 5","Regional depletion",0.854844664802996,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1970,"Region 1","Regional depletion",0.759410644274311,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1970,"Region 2","Regional depletion",0.813298883101614,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1970,"Region 3","Regional depletion",0.825824346014136,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1970,"Region 4","Regional depletion",0.825914828212572,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1970,"Region 5","Regional depletion",0.853301130116616,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1971,"Region 1","Regional depletion",0.743646873191192,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1971,"Region 2","Regional depletion",0.813931454934915,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1971,"Region 3","Regional depletion",0.833058037920178,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1971,"Region 4","Regional depletion",0.825012963748645,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1971,"Region 5","Regional depletion",0.849972622741376,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1972,"Region 1","Regional depletion",0.732613999983114,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1972,"Region 2","Regional depletion",0.80819182140401,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1972,"Region 3","Regional depletion",0.820514202554843,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1972,"Region 4","Regional depletion",0.820788586658305,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1972,"Region 5","Regional depletion",0.858704205648334,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1973,"Region 1","Regional depletion",0.700748744194863,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1973,"Region 2","Regional depletion",0.788684389911384,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1973,"Region 3","Regional depletion",0.802317608337905,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1973,"Region 4","Regional depletion",0.798090612176535,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1973,"Region 5","Regional depletion",0.847215098077365,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1974,"Region 1","Regional depletion",0.692878582295136,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1974,"Region 2","Regional depletion",0.754404805456884,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1974,"Region 3","Regional depletion",0.798098329574997,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1974,"Region 4","Regional depletion",0.793225498826291,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1974,"Region 5","Regional depletion",0.831281349749202,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1975,"Region 1","Regional depletion",0.674469690245851,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1975,"Region 2","Regional depletion",0.718339592712683,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1975,"Region 3","Regional depletion",0.782868469085102,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1975,"Region 4","Regional depletion",0.787430659168293,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1975,"Region 5","Regional depletion",0.843443884690736,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1976,"Region 1","Regional depletion",0.638677681922308,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1976,"Region 2","Regional depletion",0.682273971309928,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1976,"Region 3","Regional depletion",0.776161933772232,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
