"scenario","model_label","run","seed","display_label","is_reference","is_base_fit_reference","metric","quantity","unit","window","source","value","status_quantity"
"Diagnostic model","Diagnostic model",5,5,"Seed 5",FALSE,FALSE,"sb_recent_sbmsy","SBrecent/SBMSY","ratio","2021-2024","mean(SB, 2021-2024) / MFCLRep@BMSY",1.10815377804014,"SB/SBMSY"
"Diagnostic model","Diagnostic model",5,5,"Seed 5",FALSE,FALSE,"f_recent_fmsy","Frecent/FMSY","ratio","2020-2023","1 / MFCLRep@Fmult using the 2020-2023 fishing-mortality pattern",1.1063170704724,"F/FMSY"
"Diagnostic model","Diagnostic model",7,7,"Seed 7",FALSE,FALSE,"recent_depletion","SBrecent/SBF=0","ratio","2021-2024 / 2014-2023","mean(SB, 2021-2024) / mean(SBF=0, 2014-2023)",0.172767110090031,"SB/SBF=0"
"Diagnostic model","Diagnostic model",7,7,"Seed 7",FALSE,FALSE,"sb_recent_sbmsy","SBrecent/SBMSY","ratio","2021-2024","mean(SB, 2021-2024) / MFCLRep@BMSY",1.02207282110092,"SB/SBMSY"
"Diagnostic model","Diagnostic model",7,7,"Seed 7",FALSE,FALSE,"f_recent_fmsy","Frecent/FMSY","ratio","2020-2023","1 / MFCLRep@Fmult using the 2020-2023 fishing-mortality pattern",1.14626318202659,"F/FMSY"
"Diagnostic model","Diagnostic model",8,8,"Seed 8",FALSE,FALSE,"recent_depletion","SBrecent/SBF=0","ratio","2021-2024 / 2014-2023","mean(SB, 2021-2024) / mean(SBF=0, 2014-2023)",0.207865301892017,"SB/SBF=0"
"Diagnostic model","Diagnostic model",8,8,"Seed 8",FALSE,FALSE,"sb_recent_sbmsy","SBrecent/SBMSY","ratio","2021-2024","mean(SB, 2021-2024) / MFCLRep@BMSY",1.17136937013207,"SB/SBMSY"
"Diagnostic model","Diagnostic model",8,8,"Seed 8",FALSE,FALSE,"f_recent_fmsy","Frecent/FMSY","ratio","2020-2023","1 / MFCLRep@Fmult using the 2020-2023 fishing-mortality pattern",1.02364622786365,"F/FMSY"
"Diagnostic model","Diagnostic model",9,9,"Seed 9",FALSE,FALSE,"recent_depletion","SBrecent/SBF=0","ratio","2021-2024 / 2014-2023","mean(SB, 2021-2024) / mean(SBF=0, 2014-2023)",0.168228115986737,"SB/SBF=0"
"Diagnostic model","Diagnostic model",9,9,"Seed 9",FALSE,FALSE,"sb_recent_sbmsy","SBrecent/SBMSY","ratio","2021-2024","mean(SB, 2021-2024) / MFCLRep@BMSY",0.959902309058615,"SB/SBMSY"
